"chapter"|"year"|"value"|"time"
"01"|"1998"|0|2022-03-22 15:10:53
"01"|"1999"|0|2022-03-22 15:10:53
"01"|"2000"|0|2022-03-22 15:10:53
"01"|"2001"|0|2022-03-22 15:10:53
"01"|"2002"|0|2022-03-22 15:10:53
"01"|"2003"|0|2022-03-22 15:10:53
"01"|"2004"|0|2022-03-22 15:10:53
"01"|"2005"|0|2022-03-22 15:10:53
"01"|"2006"|0|2022-03-22 15:10:53
"01"|"2007"|6979.81769|2022-03-22 15:10:53
"01"|"2008"|4613.34444|2022-03-22 15:10:53
"01"|"2009"|2758.80882|2022-03-22 15:10:53
"01"|"2010"|4878.40919|2022-03-22 15:10:53
"01"|"2011"|6996.41332|2022-03-22 15:10:53
"01"|"2012"|5740.8766|2022-03-22 15:10:53
"01"|"2013"|4030.13478|2022-03-22 15:10:53
"01"|"2014"|3140.18229|2022-03-22 15:10:53
"01"|"2015"|7349.64683|2022-03-22 15:10:53
"01"|"2016"|7731.67643|2022-03-22 15:10:53
"01"|"2017"|8601.74809|2022-03-22 15:10:53
"01"|"2018"|7760.81307|2022-03-22 15:10:53
"01"|"2019"|7662.23277|2022-03-22 15:10:53
"01"|"2020"|8810.18034|2022-03-22 15:10:53
"01"|"2021"|11305.5221|2022-03-22 15:10:53
"01"|"2022*"|980.6227|2022-03-22 15:10:53
"02"|"1998"|0|2022-03-22 15:10:53
"02"|"1999"|0|2022-03-22 15:10:53
"02"|"2000"|0|2022-03-22 15:10:53
"02"|"2001"|0|2022-03-22 15:10:53
"02"|"2002"|0|2022-03-22 15:10:53
"02"|"2003"|0|2022-03-22 15:10:53
"02"|"2004"|0|2022-03-22 15:10:53
"02"|"2005"|0|2022-03-22 15:10:53
"02"|"2006"|0|2022-03-22 15:10:53
"02"|"2007"|42782.03755|2022-03-22 15:10:53
"02"|"2008"|50176.89114|2022-03-22 15:10:53
"02"|"2009"|42722.7772|2022-03-22 15:10:53
"02"|"2010"|50658.42106|2022-03-22 15:10:53
"02"|"2011"|56233.12507|2022-03-22 15:10:53
"02"|"2012"|59452.44316|2022-03-22 15:10:53
"02"|"2013"|61753.63946|2022-03-22 15:10:53
"02"|"2014"|85608.76227|2022-03-22 15:10:53
"02"|"2015"|89205.66359|2022-03-22 15:10:53
"02"|"2016"|72078.75807|2022-03-22 15:10:53
"02"|"2017"|73845.14178|2022-03-22 15:10:53
"02"|"2018"|75709.3105399999|2022-03-22 15:10:53
"02"|"2019"|113923.16276|2022-03-22 15:10:53
"02"|"2020"|126132.98665|2022-03-22 15:10:53
"02"|"2021"|158860.8236|2022-03-22 15:10:53
"02"|"2022*"|11957.08213|2022-03-22 15:10:53
"03"|"1998"|0|2022-03-22 15:10:53
"03"|"1999"|0|2022-03-22 15:10:53
"03"|"2000"|0|2022-03-22 15:10:53
"03"|"2001"|0|2022-03-22 15:10:53
"03"|"2002"|0|2022-03-22 15:10:53
"03"|"2003"|0|2022-03-22 15:10:53
"03"|"2004"|0|2022-03-22 15:10:53
"03"|"2005"|0|2022-03-22 15:10:53
"03"|"2006"|0|2022-03-22 15:10:53
"03"|"2007"|85046.75018|2022-03-22 15:10:53
"03"|"2008"|97140.01121|2022-03-22 15:10:53
"03"|"2009"|92095.92567|2022-03-22 15:10:53
"03"|"2010"|92366.8673|2022-03-22 15:10:53
"03"|"2011"|100304.88786|2022-03-22 15:10:53
"03"|"2012"|120731.71955|2022-03-22 15:10:53
"03"|"2013"|124330.19226|2022-03-22 15:10:53
"03"|"2014"|112769.7409|2022-03-22 15:10:53
"03"|"2015"|99342.22871|2022-03-22 15:10:53
"03"|"2016"|83234.9144|2022-03-22 15:10:53
"03"|"2017"|88989.12912|2022-03-22 15:10:53
"03"|"2018"|98606.62653|2022-03-22 15:10:53
"03"|"2019"|88699.02443|2022-03-22 15:10:53
"03"|"2020"|61414.99968|2022-03-22 15:10:53
"03"|"2021"|83072.66134|2022-03-22 15:10:53
"03"|"2022*"|7867.94724|2022-03-22 15:10:53
"04"|"1998"|0|2022-03-22 15:10:53
"04"|"1999"|0|2022-03-22 15:10:53
"04"|"2000"|0|2022-03-22 15:10:53
"04"|"2001"|0|2022-03-22 15:10:53
"04"|"2002"|0|2022-03-22 15:10:53
"04"|"2003"|0|2022-03-22 15:10:53
"04"|"2004"|0|2022-03-22 15:10:53
"04"|"2005"|0|2022-03-22 15:10:53
"04"|"2006"|0|2022-03-22 15:10:53
"04"|"2007"|49138.44209|2022-03-22 15:10:53
"04"|"2008"|49791.37007|2022-03-22 15:10:53
"04"|"2009"|32991.33859|2022-03-22 15:10:53
"04"|"2010"|81742.8857700002|2022-03-22 15:10:53
"04"|"2011"|84634.01617|2022-03-22 15:10:53
"04"|"2012"|117931.81921|2022-03-22 15:10:53
"04"|"2013"|129660.20131|2022-03-22 15:10:53
"04"|"2014"|159619.31337|2022-03-22 15:10:53
"04"|"2015"|134200.20316|2022-03-22 15:10:53
"04"|"2016"|150974.75804|2022-03-22 15:10:53
"04"|"2017"|150090.38293|2022-03-22 15:10:53
"04"|"2018"|152616.18775|2022-03-22 15:10:53
"04"|"2019"|165962.89164|2022-03-22 15:10:53
"04"|"2020"|149348.55614|2022-03-22 15:10:53
"04"|"2021"|137486.81824|2022-03-22 15:10:53
"04"|"2022*"|10677.60828|2022-03-22 15:10:53
"05"|"1998"|0|2022-03-22 15:10:53
"05"|"1999"|0|2022-03-22 15:10:53
"05"|"2000"|0|2022-03-22 15:10:53
"05"|"2001"|0|2022-03-22 15:10:53
"05"|"2002"|0|2022-03-22 15:10:53
"05"|"2003"|0|2022-03-22 15:10:53
"05"|"2004"|0|2022-03-22 15:10:53
"05"|"2005"|0|2022-03-22 15:10:53
"05"|"2006"|0|2022-03-22 15:10:53
"05"|"2007"|2722.22017|2022-03-22 15:10:53
"05"|"2008"|2422.51371|2022-03-22 15:10:53
"05"|"2009"|1662.18167|2022-03-22 15:10:53
"05"|"2010"|3083.27473|2022-03-22 15:10:53
"05"|"2011"|4100.47845|2022-03-22 15:10:53
"05"|"2012"|10562.16903|2022-03-22 15:10:53
"05"|"2013"|4032.3819|2022-03-22 15:10:53
"05"|"2014"|4175.55735|2022-03-22 15:10:53
"05"|"2015"|4144.79143|2022-03-22 15:10:53
"05"|"2016"|4040.39636|2022-03-22 15:10:53
"05"|"2017"|4560.02829|2022-03-22 15:10:53
"05"|"2018"|6003.4814|2022-03-22 15:10:53
"05"|"2019"|8507.37312|2022-03-22 15:10:53
"05"|"2020"|7258.46125|2022-03-22 15:10:53
"05"|"2021"|6938.24669|2022-03-22 15:10:53
"05"|"2022*"|688.07649|2022-03-22 15:10:53
"06"|"1998"|0|2022-03-22 15:10:53
"06"|"1999"|0|2022-03-22 15:10:53
"06"|"2000"|0|2022-03-22 15:10:53
"06"|"2001"|0|2022-03-22 15:10:53
"06"|"2002"|0|2022-03-22 15:10:53
"06"|"2003"|0|2022-03-22 15:10:53
"06"|"2004"|0|2022-03-22 15:10:53
"06"|"2005"|0|2022-03-22 15:10:53
"06"|"2006"|0|2022-03-22 15:10:53
"06"|"2007"|192838.28719|2022-03-22 15:10:53
"06"|"2008"|197424.06904|2022-03-22 15:10:53
"06"|"2009"|163132.14615|2022-03-22 15:10:53
"06"|"2010"|172524.86682|2022-03-22 15:10:53
"06"|"2011"|168279.21745|2022-03-22 15:10:53
"06"|"2012"|167034.32759|2022-03-22 15:10:53
"06"|"2013"|155741.36246|2022-03-22 15:10:53
"06"|"2014"|152655.92282|2022-03-22 15:10:53
"06"|"2015"|150205.90418|2022-03-22 15:10:53
"06"|"2016"|139685.04839|2022-03-22 15:10:53
"06"|"2017"|132527.58105|2022-03-22 15:10:53
"06"|"2018"|129623.95195|2022-03-22 15:10:53
"06"|"2019"|132340.83591|2022-03-22 15:10:53
"06"|"2020"|121630.1393|2022-03-22 15:10:53
"06"|"2021"|165822.925148|2022-03-22 15:10:53
"06"|"2022*"|18086.4217|2022-03-22 15:10:53
"07"|"1998"|0|2022-03-22 15:10:53
"07"|"1999"|0|2022-03-22 15:10:53
"07"|"2000"|0|2022-03-22 15:10:53
"07"|"2001"|0|2022-03-22 15:10:53
"07"|"2002"|0|2022-03-22 15:10:53
"07"|"2003"|0|2022-03-22 15:10:53
"07"|"2004"|0|2022-03-22 15:10:53
"07"|"2005"|0|2022-03-22 15:10:53
"07"|"2006"|0|2022-03-22 15:10:53
"07"|"2007"|97103.45472|2022-03-22 15:10:53
"07"|"2008"|126738.92723|2022-03-22 15:10:53
"07"|"2009"|95582.49074|2022-03-22 15:10:53
"07"|"2010"|114020.67484|2022-03-22 15:10:53
"07"|"2011"|150983.36708|2022-03-22 15:10:53
"07"|"2012"|131689.18219|2022-03-22 15:10:53
"07"|"2013"|141186.69897|2022-03-22 15:10:53
"07"|"2014"|142868.24809|2022-03-22 15:10:53
"07"|"2015"|141877.13603|2022-03-22 15:10:53
"07"|"2016"|152209.66195|2022-03-22 15:10:53
"07"|"2017"|147882.19944|2022-03-22 15:10:53
"07"|"2018"|156885.83859|2022-03-22 15:10:53
"07"|"2019"|167867.45935|2022-03-22 15:10:53
"07"|"2020"|166377.15533|2022-03-22 15:10:53
"07"|"2021"|181737.87749|2022-03-22 15:10:53
"07"|"2022*"|15707.00468|2022-03-22 15:10:53
"08"|"1998"|0|2022-03-22 15:10:53
"08"|"1999"|0|2022-03-22 15:10:53
"08"|"2000"|0|2022-03-22 15:10:53
"08"|"2001"|0|2022-03-22 15:10:53
"08"|"2002"|0|2022-03-22 15:10:53
"08"|"2003"|0|2022-03-22 15:10:53
"08"|"2004"|0|2022-03-22 15:10:53
"08"|"2005"|0|2022-03-22 15:10:53
"08"|"2006"|0|2022-03-22 15:10:53
"08"|"2007"|1270297.38061|2022-03-22 15:10:53
"08"|"2008"|1369842.93581|2022-03-22 15:10:53
"08"|"2009"|1314022.39681|2022-03-22 15:10:53
"08"|"2010"|1544086.88162|2022-03-22 15:10:53
"08"|"2011"|1661912.33038|2022-03-22 15:10:53
"08"|"2012"|1727899.21592|2022-03-22 15:10:53
"08"|"2013"|1779559.95518|2022-03-22 15:10:53
"08"|"2014"|1935213.61983|2022-03-22 15:10:53
"08"|"2015"|1807776.79644|2022-03-22 15:10:53
"08"|"2016"|2053277.91501|2022-03-22 15:10:53
"08"|"2017"|2192696.70699|2022-03-22 15:10:53
"08"|"2018"|2213328.57554|2022-03-22 15:10:53
"08"|"2019"|2152455.73484|2022-03-22 15:10:53
"08"|"2020"|2198040.62526|2022-03-22 15:10:53
"08"|"2021"|2303979.19694|2022-03-22 15:10:53
"08"|"2022*"|160423.81506|2022-03-22 15:10:53
"09"|"1998"|0|2022-03-22 15:10:53
"09"|"1999"|0|2022-03-22 15:10:53
"09"|"2000"|0|2022-03-22 15:10:53
"09"|"2001"|0|2022-03-22 15:10:53
"09"|"2002"|0|2022-03-22 15:10:53
"09"|"2003"|0|2022-03-22 15:10:53
"09"|"2004"|0|2022-03-22 15:10:53
"09"|"2005"|0|2022-03-22 15:10:53
"09"|"2006"|0|2022-03-22 15:10:53
"09"|"2007"|260636.60099|2022-03-22 15:10:53
"09"|"2008"|345904.18603|2022-03-22 15:10:53
"09"|"2009"|203712.68538|2022-03-22 15:10:53
"09"|"2010"|265439.96022|2022-03-22 15:10:53
"09"|"2011"|379758.52518|2022-03-22 15:10:53
"09"|"2012"|422062.20238|2022-03-22 15:10:53
"09"|"2013"|312433.2581|2022-03-22 15:10:53
"09"|"2014"|288656.57283|2022-03-22 15:10:53
"09"|"2015"|313829.1643|2022-03-22 15:10:53
"09"|"2016"|314339.42232|2022-03-22 15:10:53
"09"|"2017"|309942.12959|2022-03-22 15:10:53
"09"|"2018"|316303.80924|2022-03-22 15:10:53
"09"|"2019"|283013.42118|2022-03-22 15:10:53
"09"|"2020"|340083.16173|2022-03-22 15:10:53
"09"|"2021"|340450.20312|2022-03-22 15:10:53
"09"|"2022*"|25940.35847|2022-03-22 15:10:53
"10"|"1998"|0|2022-03-22 15:10:53
"10"|"1999"|0|2022-03-22 15:10:53
"10"|"2000"|0|2022-03-22 15:10:53
"10"|"2001"|0|2022-03-22 15:10:53
"10"|"2002"|0|2022-03-22 15:10:53
"10"|"2003"|0|2022-03-22 15:10:53
"10"|"2004"|0|2022-03-22 15:10:53
"10"|"2005"|0|2022-03-22 15:10:53
"10"|"2006"|0|2022-03-22 15:10:53
"10"|"2007"|1535.6563|2022-03-22 15:10:53
"10"|"2008"|2393.96751|2022-03-22 15:10:53
"10"|"2009"|2150.44861|2022-03-22 15:10:53
"10"|"2010"|843.12553|2022-03-22 15:10:53
"10"|"2011"|1236.80573|2022-03-22 15:10:53
"10"|"2012"|1413.54356|2022-03-22 15:10:53
"10"|"2013"|1759.71387|2022-03-22 15:10:53
"10"|"2014"|2511.91459|2022-03-22 15:10:53
"10"|"2015"|2451.15358|2022-03-22 15:10:53
"10"|"2016"|3473.54638|2022-03-22 15:10:53
"10"|"2017"|3620.83497|2022-03-22 15:10:53
"10"|"2018"|2835.4113|2022-03-22 15:10:53
"10"|"2019"|4531.71118|2022-03-22 15:10:53
"10"|"2020"|6421.63421|2022-03-22 15:10:53
"10"|"2021"|7937.33574|2022-03-22 15:10:53
"10"|"2022*"|597.75579|2022-03-22 15:10:53
"11"|"1998"|0|2022-03-22 15:10:53
"11"|"1999"|0|2022-03-22 15:10:53
"11"|"2000"|0|2022-03-22 15:10:53
"11"|"2001"|0|2022-03-22 15:10:53
"11"|"2002"|0|2022-03-22 15:10:53
"11"|"2003"|0|2022-03-22 15:10:53
"11"|"2004"|0|2022-03-22 15:10:53
"11"|"2005"|0|2022-03-22 15:10:53
"11"|"2006"|0|2022-03-22 15:10:53
"11"|"2007"|15812.74046|2022-03-22 15:10:53
"11"|"2008"|16072.04626|2022-03-22 15:10:53
"11"|"2009"|17378.57354|2022-03-22 15:10:53
"11"|"2010"|14236.70719|2022-03-22 15:10:53
"11"|"2011"|21975.95812|2022-03-22 15:10:53
"11"|"2012"|14882.45093|2022-03-22 15:10:53
"11"|"2013"|17320.30841|2022-03-22 15:10:53
"11"|"2014"|17773.90431|2022-03-22 15:10:53
"11"|"2015"|18407.93806|2022-03-22 15:10:53
"11"|"2016"|16097.99454|2022-03-22 15:10:53
"11"|"2017"|15515.65888|2022-03-22 15:10:53
"11"|"2018"|11950.7969|2022-03-22 15:10:53
"11"|"2019"|9642.96725|2022-03-22 15:10:53
