time|value|year|month
2023-02-04 15:06:14.237362|6354.59765207|1999|12.0
2023-02-04 15:06:14.237362|5544.82180287|2000|12.0
2023-02-04 15:06:14.237362|5492.92729326|2001|12.0
2023-02-04 15:06:14.237362|5958.10518467|2002|12.0
2023-02-04 15:06:14.237362|6362.64871927|2003|12.0
2023-02-04 15:06:14.237362|6903.63167723|2004|12.0
2023-02-04 15:06:14.237362|7989.87321559|2005|12.0
2023-02-04 15:06:14.237362|9168.15301413|2006|12.0
2023-02-04 15:06:14.237362|10706.62399660|2007|12.0
2023-02-04 15:06:14.237362|13027.30821803|2008|12.0
2023-02-04 15:06:14.237362|9579.76074336|2009|12.0
2023-02-04 15:06:14.237362|11544.88143232|2010|12.0
2023-02-04 15:06:14.237362|13827.50155267|2011|12.0
2023-02-04 15:06:14.237362|14915.17752702|2012|12.0
2023-02-04 15:06:14.237362|15088.46137219|2013|12.0
2023-02-04 15:06:14.237362|15561.69293709|2014|12.0
2023-02-04 15:06:14.237362|14746.10019615|2015|12.0
2023-02-04 15:06:14.237362|15230.89362532|2016|12.0
2023-02-04 15:06:14.237362|15917.33683954|2017|12.0
2023-02-04 15:06:14.237362|16569.40951826|2018|12.0
2023-02-04 15:06:14.237362|15936.62041900|2019|12.0
2023-02-04 15:06:14.237362|13959.01562869|2020|12.0
2023-02-04 15:06:14.237362|18390.99760933|2021|12.0
2023-02-04 15:06:14.237362|21147.98184569|2022|12.0
2023-02-03 21:10:13.214341|6354.59765207|1999|12.0
2023-02-03 21:10:13.214341|5544.82180287|2000|12.0
2023-02-03 21:10:13.214341|5492.92729326|2001|12.0
2023-02-03 21:10:13.214341|5958.10518467|2002|12.0
2023-02-03 21:10:13.214341|6362.64871927|2003|12.0
2023-02-03 21:10:13.214341|6903.63167723|2004|12.0
2023-02-03 21:10:13.214341|7989.87321559|2005|12.0
2023-02-03 21:10:13.214341|9168.15301413|2006|12.0
2023-02-03 21:10:13.214341|10706.6239966|2007|12.0
2023-02-03 21:10:13.214341|13027.30821803|2008|12.0
2023-02-03 21:10:13.214341|9579.76074336|2009|12.0
2023-02-03 21:10:13.214341|11544.88143232|2010|12.0
2023-02-03 21:10:13.214341|13827.50155267|2011|12.0
2023-02-03 21:10:13.214341|14915.17752702|2012|12.0
2023-02-03 21:10:13.214341|15088.46137219|2013|12.0
2023-02-03 21:10:13.214341|15561.69293709|2014|12.0
2023-02-03 21:10:13.214341|14746.10019615|2015|12.0
2023-02-03 21:10:13.214341|15230.89362532|2016|12.0
2023-02-03 21:10:13.214341|15917.33683954|2017|12.0
2023-02-03 21:10:13.214341|16569.40951826|2018|12.0
2023-02-03 21:10:13.214341|15936.620419|2019|12.0
2023-02-03 21:10:13.214341|13959.01562869|2020|12.0
2023-02-03 21:10:13.214341|18390.99760933|2021|12.0
2023-02-03 21:10:13.214341|21147.98184569|2022|12.0
