;;Catálogo de indicadores económicos disponibles a consultar;
Código;Código padre;Nombre;Descripción;Indicador;Periodicidad
19;;               Cuenta financiera;Cuenta financiera;E05.01.02.02.00.00.00.00.00.T.USD                                     ;Trimestral
20;19;                    Inversión directa;Inversión directa;E05.01.02.02.01.00.00.00.00.T.USD                                     ;Trimestral
21;20;                         En el extranjero;En el extranjero;E05.01.02.02.01.01.00.00.00.T.USD                                     ;Trimestral
22;20;                         En la economía declarante;En la economía declarante;E05.01.02.02.01.02.00.00.00.T.USD                                     ;Trimestral
23;19;                    Inversión de cartera;Inversión de cartera;E05.01.02.02.02.00.00.00.00.T.USD                                     ;Trimestral
24;23;                         Títulos de participación en el capital;Títulos de participación en el capital;E05.01.02.02.02.01.00.00.00.T.USD                                     ;Trimestral
25;23;                         Títulos de deuda;Títulos de deuda;E05.01.02.02.02.02.00.00.00.T.USD                                     ;Trimestral
26;19;                    Otra inversión;Otra inversión;E05.01.02.02.04.00.00.00.00.T.USD                                     ;Trimestral
27;26;                         Créditos comerciales;Créditos comerciales;E05.01.02.02.04.01.00.00.00.T.USD                                     ;Trimestral
28;26;                         Préstamos;Préstamos;E05.01.02.02.04.02.00.00.00.T.USD                                     ;Trimestral
29;26;                         Moneda y depósitos;Moneda y depósitos;E05.01.02.02.04.03.00.00.00.T.USD                                     ;Trimestral
30;26;                         Otros activos y pasivos;Otros activos y pasivos;E05.01.02.02.04.04.00.00.00.T.USD                                     ;Trimestral
316;;     Tipo de cambio colón costarricense;Tipo de cambio colón costarricense;E02.01.00.00.00.00.00.00.00.D.CRC                                     ;Diaria
317;316;          Compra;Compra;E02.01.01.00.00.00.00.00.00.D.CRC                                     ;Diaria
318;316;          Venta;Venta;E02.01.02.00.00.00.00.00.00.D.CRC                                     ;Diaria
319;;     Tipo de cambio interbancario promedio mensual;Tipo de cambio interbancario promedio mensual;E02.02.00.00.00.00.00.00.00.M.CRC                                     ;Mensual
320;319;          Compra;Compra;E02.02.01.00.00.00.00.00.00.M.CRC                                     ;Mensual
321;319;          Venta;Venta;E02.02.02.00.00.00.00.00.00.M.CRC                                     ;Mensual
322;;          Real Multilateral;Real Multilateral;E02.10.01.00.00.00.00.00.00.M.NIV                                     ;Mensual
3237;322;               Real Multilateral CE;Real Multilateral CE;E02.10.01.01.00.00.00.00.00.M.NIV                                     ;Mensual
3238;322;               Real Multilateral CD;Real Multilateral CD;E02.10.01.02.00.00.00.00.00.M.NIV                                     ;Mensual
3239;322;               Real Multilateral CT;Real Multilateral CT;E02.10.01.03.00.00.00.00.00.M.NIV                                     ;Mensual
24329;322;               ITCER Multilateral Ponderadores Móviles;ITCER Multilateral Ponderadores Móviles;E02.10.01.09.00.00.00.00.00.M.NIV                                     ;Mensual
355;;     Activos externos;Activos externos;E07.01.00.00.00.00.00.00.00.M.CRC                                     ;Mensual
486;355;          Préstamos al exterior;Préstamos al exterior;E07.01.02.00.00.00.00.00.00.M.CRC                                     ;Mensual
1863;486;               Bancos comerciales;Bancos comerciales;E07.01.02.02.00.00.00.00.00.M.CRC                                     ;Mensual
2933;486;               Otros intermediarios financieros;Otros intermediarios financieros;E07.01.02.03.00.00.00.00.00.M.CRC                                     ;Mensual
1302;355;          Activos externos de reserva;Activos externos de reserva;E07.01.01.00.00.00.00.00.00.M.CRC                                     ;Mensual
1315;1302;               Banco central;Banco central;E07.01.01.01.00.00.00.00.00.M.USD                                     ;Mensual
1858;1302;               Bancos comerciales;Bancos comerciales;E07.01.01.02.00.00.00.00.00.M.CRC                                     ;Mensual
3044;1302;               Otros intermediarios financieros;Otros intermediarios financieros;E07.01.01.03.00.00.00.00.00.M.CRC                                     ;Mensual
3587;1302;               Banco central;Banco central;E07.01.01.01.00.00.00.00.00.M.CRC                                     ;Mensual
446;;     Tasa de redescuento;Tasa de redescuento;E03.03.00.00.00.00.00.00.00.M.POR                                     ;Mensual
608;;     Medio circulante;Medio circulante;E07.10.00.00.00.00.00.00.00.M.CRC                                     ;Mensual
1445;608;          Medio circulante sistema bancario nacional;Medio circulante sistema bancario nacional;E07.10.01.00.00.00.00.00.00.M.CRC                                     ;Mensual
1479;608;          Medio circulante sistema financiero nacional;Medio circulante sistema financiero nacional;E07.10.02.00.00.00.00.00.00.M.CRC                                     ;Mensual
2936;1479;               Otros activos netos;Otros activos netos;E07.10.02.05.00.00.00.00.00.M.CRC                                     ;Mensual
670;;     Ingresos, gasto y financiamiento efectivo, Gobierno;Ingresos, gasto y financiamiento efectivo, Gobierno;E06.01.00.00.00.00.00.00.00.M.CRC                                     ;Mensual
1583;670;          Resultado financiero del Gobierno Central;Resultado financiero del Gobierno Central;E06.01.04.00.00.00.00.00.00.M.CRC                                     ;Mensual
1584;670;          Financiamiento total;Financiamiento total;E06.01.05.00.00.00.00.00.00.M.CRC                                     ;Mensual
1585;1584;               Financiamiento externo neto;Financiamiento externo neto;E06.01.05.01.00.00.00.00.00.M.CRC                                     ;Mensual
1586;1585;                    Desembolsos;Desembolsos;E06.01.05.01.01.00.00.00.00.M.CRC                                     ;Mensual
1587;1585;                    Amortizaciones;Amortizaciones;E06.01.05.01.02.00.00.00.00.M.CRC                                     ;Mensual
1588;1584;               Financiamiento interno neto;Financiamiento interno neto;E06.01.05.02.00.00.00.00.00.M.CRC                                     ;Mensual
1589;1588;                    Bonos Neto;Bonos Neto;E06.01.05.02.01.00.00.00.00.M.CRC                                     ;Mensual
